Frame Number,hip,ra,dec,mag,parallax,B_V,Spectral_type,size,Frame Boundaries
36,117349,356.91009685,-5.82544599,7.64,9.09,0.015,F8          ,4.720000000000001,"[[356.55190874  -5.46207908]
 [357.55135903  -5.42892594]
 [357.5679356   -5.92865108]
 [356.56848531  -5.96180422]]"
36,117495,357.38580684,-5.5529698,7.75,4.55,0.016,G5          ,4.5,"[[356.55190874  -5.46207908]
 [357.55135903  -5.42892594]
 [357.5679356   -5.92865108]
 [356.56848531  -5.96180422]]"
36,Celestial_data for frame:,      ,Sun,"(np.float64(21.875118838256835), np.float64(-12.738812570276128))",moon,"(np.float64(11.44722989577998), np.float64(3.1409133866536028))"
36,Diffused UV data in frame (Total_photons):,      ,1100A,12715.854579999996,1500A,9786.893998000003,2300A,7564.389775999997
37,117495,357.38580684,-5.5529698,7.75,4.55,0.016,G5          ,4.5,"[[357.17173548  -5.44176953]
 [358.17114964  -5.40754495]
 [358.18826194  -5.90725203]
 [357.18884777  -5.94147662]]"
37,117662,357.93932017,-5.68044496,8.63,3.98,0.033,G5          ,2.7399999999999984,"[[357.17173548  -5.44176953]
 [358.17114964  -5.40754495]
 [358.18826194  -5.90725203]
 [357.18884777  -5.94147662]]"
37,Celestial_data for frame:,      ,Sun,"(np.float64(21.87512635672784), np.float64(-12.738772991820897))",moon,"(np.float64(11.447312668226028), np.float64(3.140240503937551))"
37,Diffused UV data in frame (Total_photons):,      ,1100A,18742.482190000002,1500A,13893.985485000001,2300A,10710.806044000003
38,117662,357.93932017,-5.68044496,8.63,3.98,0.033,G5          ,2.7399999999999984,"[[357.7915199   -5.42079614]
 [358.79089694  -5.3855042 ]
 [358.80854292  -5.88519272]
 [357.80916587  -5.92048466]]"
38,Celestial_data for frame:,      ,Sun,"(np.float64(21.875133875196173), np.float64(-12.738733413319366))",moon,"(np.float64(11.447395440417031), np.float64(3.1395676209261794))"
38,Diffused UV data in frame (Total_photons):,      ,1100A,14302.654949999998,1500A,9722.520814,2300A,7974.670381000001
39,118080,359.29204597,-5.45973823,8.5,13.26,0.015,F8          ,3.0,"[[358.41126577  -5.39916122]
 [359.4106047   -5.36280614]
 [359.42878224  -5.86247561]
 [358.42944331  -5.89883069]]"
39,Celestial_data for frame:,      ,Sun,"(np.float64(21.875141393661824), np.float64(-12.73869383477153))",moon,"(np.float64(11.447478212352312), np.float64(3.138894737617849))"
39,Diffused UV data in frame (Total_photons):,      ,1100A,10056.925091,1500A,7354.200349000002,2300A,5593.520535000001
40,118080,359.29204597,-5.45973823,8.5,13.26,0.015,F8          ,3.0,"[[359.03096687  -5.37686753]
 [360.03026672  -5.33945365]
 [360.04897366  -5.83910358]
 [359.04967381  -5.87651745]]"
40,118141,359.4524154,-5.45648617,8.13,5.87,0.015,F8          ,3.7399999999999984,"[[359.03096687  -5.37686753]
 [360.03026672  -5.33945365]
 [360.04897366  -5.83910358]
 [359.04967381  -5.87651745]]"
40,Celestial_data for frame:,      ,Sun,"(np.float64(21.8751489121248), np.float64(-12.738654256177394))",moon,"(np.float64(11.447560984032691), np.float64(3.1382218540140827))"
40,Diffused UV data in frame (Total_photons):,      ,1100A,14609.516475000004,1500A,11979.438936,2300A,10506.753078999998
41,Empty frame,,,,,,,,[-0.3493755  -5.35391762]
41,Celestial_data for frame:,      ,Sun,"(np.float64(21.875156430585093), np.float64(-12.738614677536965))",moon,"(np.float64(11.447643755457694), np.float64(3.1375489701146515))"
41,Diffused UV data in frame (Total_photons):,      ,1100A,11288.240029999999,1500A,6979.409892999999,2300A,5838.789577999999
42,Empty frame,,,,,,,,[ 0.27023999 -5.33031414]
42,Celestial_data for frame:,      ,Sun,"(np.float64(21.87516394904271), np.float64(-12.738575098850227))",moon,"(np.float64(11.44772652662732), np.float64(3.1368760859188938))"
42,Diffused UV data in frame (Total_photons):,      ,1100A,11944.943695,1500A,8021.367986000001,2300A,6565.1634653
43,443,1.33394073,-5.70783255,4.61,25.38,0.037,K1III       ,10.78,"[[ 0.88980719 -5.30606008]
 [ 1.88898417 -5.26549712]
 [ 1.90926565 -5.76508561]
 [ 0.91008867 -5.80564857]]"
43,Celestial_data for frame:,      ,Sun,"(np.float64(21.87517146749765), np.float64(-12.738535520117194))",moon,"(np.float64(11.447809297541976), np.float64(3.136203201428961))"
43,Diffused UV data in frame (Total_photons):,      ,1100A,8299.364608,1500A,7185.760501000001,2300A,5023.857949000001
44,637,1.94918183,-5.48598739,8.85,4.31,0.035,K0          ,2.3000000000000007,"[[ 1.50932747 -5.28115822]
 [ 2.50846169 -5.23955509]
 [ 2.52926325 -5.73912219]
 [ 1.53012904 -5.78072533]]"
44,Celestial_data for frame:,      ,Sun,"(np.float64(21.875178985949915), np.float64(-12.738495941337865))",moon,"(np.float64(11.447892068201304), np.float64(3.135530316643835))"
44,Diffused UV data in frame (Total_photons):,      ,1100A,9262.337892999998,1500A,8306.511627,2300A,5538.903933999998
45,840,2.57853868,-5.24851713,5.84,18.18,0.022,K1III       ,8.32,"[[ 2.12880222 -5.25561144]
 [ 3.12789279 -5.21297308]
 [ 3.14921197 -5.71251837]
 [ 2.1501214  -5.75515672]]"
45,Celestial_data for frame:,      ,Sun,"(np.float64(21.8751865043995), np.float64(-12.738456362512231))",moon,"(np.float64(11.44797483860538), np.float64(3.1348574315651767))"
45,Diffused UV data in frame (Total_photons):,      ,1100A,13970.661311999997,1500A,9804.371111999999,2300A,7412.908431999998
46,1062,3.30062556,-5.24201804,8.05,1.79,0.017,K2          ,3.8999999999999986,"[[ 2.74822538 -5.22942296]
 [ 3.74727146 -5.18575448]
 [ 3.7691057  -5.68527752]
 [ 2.77005962 -5.728946  ]]"
46,Celestial_data for frame:,      ,Sun,"(np.float64(21.87519402284641), np.float64(-12.738416783640302))",moon,"(np.float64(11.448057608754533), np.float64(3.1341845461916287))"
46,Diffused UV data in frame (Total_photons):,      ,1100A,13769.394811999999,1500A,8486.702940000001,2300A,6276.572843999998
47,1265,3.96507474,-5.60120129,7.48,6.68,0.015,G8IV...     ,5.039999999999999,"[[ 3.36759839 -5.2025958 ]
 [ 4.36659914 -5.1579024 ]
 [ 4.38894584 -5.65740277]
 [ 3.38994509 -5.70209618]]"
47,Celestial_data for frame:,      ,Sun,"(np.float64(21.875201541290643), np.float64(-12.738377204722072))",moon,"(np.float64(11.448140378648606), np.float64(3.13351166052477))"
47,Diffused UV data in frame (Total_photons):,      ,1100A,11357.632491000002,1500A,7573.801435000001,2300A,4902.627394
48,1588,4.96531577,-5.45053119,8.82,3.25,0.029,K0          ,2.3599999999999994,"[[ 3.98692271 -5.17513304]
 [ 4.98587732 -5.12942004]
 [ 5.00873382 -5.62889735]
 [ 4.00977921 -5.67461035]]"
48,Celestial_data for frame:,      ,Sun,"(np.float64(21.875209059732196), np.float64(-12.738337625757541))",moon,"(np.float64(11.448223148287457), np.float64(3.1328387745637953))"
48,Diffused UV data in frame (Total_photons):,      ,1100A,14405.373594999997,1500A,9987.125734000001,2300A,6369.293825
49,1588,4.96531577,-5.45053119,8.82,3.25,0.029,K0          ,2.3599999999999994,"[[ 4.60619235 -5.14703816]
 [ 5.60510004 -5.10031101]
 [ 5.62846362 -5.59976486]
 [ 4.62955593 -5.646492  ]]"
49,1755,5.55937288,-5.19188884,7.11,6.57,0.009,A2          ,5.779999999999999,"[[ 4.60619235 -5.14703816]
 [ 5.60510004 -5.10031101]
 [ 5.62846362 -5.59976486]
 [ 4.62955593 -5.646492  ]]"
49,Celestial_data for frame:,      ,Sun,"(np.float64(21.875216578171067), np.float64(-12.738298046746715))",moon,"(np.float64(11.448305917671389), np.float64(3.1321658883098595))"
49,Diffused UV data in frame (Total_photons):,      ,1100A,16566.51319,1500A,10940.61731,2300A,8110.283669
50,1755,5.55937288,-5.19188884,7.11,6.57,0.009,A2          ,5.779999999999999,"[[ 5.22540884 -5.11831438]
 [ 6.22426884 -5.07057866]
